license_spdx,repos,verified_license_rows,active_repos,repo_names
UNKNOWN,81,4,62,Anil-matcha/awesome-flux-3-api-prompts | imagineVid/Awesome-flux-3-prompts-and-skills | Toolcentral-ai/awesome-gpt-image-2-prompts | gptimage2prompts/gpt-image-2-prompts | HebeDich/awesome-midjourney-prompts | Pixmind-io/awesome-midjourney-v7-example-prompts | AIGC-Hackers/awesome-ai-image-prompts-claude | Lizhizhiyi/awesome-ai-image-prompts | JimmyLv/awesome-nano-banana | YouMind-OpenLab/awesome-nano-banana-pro-prompts | YouMind-OpenLab/awesome-seedream-4.5 | imagineVid/Awesome-seedream-5-pro-prompts-and-skills | xutongbao/awesome-stable-diffusion-prompts | flaqai/awesome-flux-3-prompts | EvoLinkAI/awesome-gpt-image-2-API-and-Prompts | Pixmind-io/awesome-gpt-image-2-prompts | JoeSai/awesome-gpt-image-2-commercial-prompts | Maritaminded209/awesome-ideogram-4.0-prompts | midjgpt/awesome-midjourney-zh | cliprise/awesome-ai-product-photography-prompts | dongyubin/Awesome-AI-Images-Prompts | tejasashinde/awesome-image-prompts | loo-y/awesome-nano-banana-prompts | awesome2027/awesome-2k-nanobananapro-prompts | GitHub30/Reproducible-Photorealistic-Nano-Banana-Pro-JSON-Prompts | ToteBrick/awesome-seedream4.0 | EvoLinkAI/awesome-seedream-5.0-pro-prompts | velokey-ai/awesome-seedream-5.0-pro-prompts | yuyan124/awesome-stable-diffusion-prompts | LichAmnesia/awesome-ad-video-prompts | flaqai/awesome-kling-4-0 | flaqai/awesome-minimax-h3-video-prompts | songguoxs/awesome-video-prompts | YouMind-OpenLab/awesome-seedance-2-prompts | hr98w/awesome-sora-prompts | liu-kaining/Awesome-Veo3-Prompts | flaqai/awesome_wan-3-0-prompts | Eric-Lautanen/seamless-ai-video-prompt-template | songyileiwork/cinematic-ai-video-prompt-skill | wuwangzhang1216/DirectorSKILL | zhouwei713/fpv-immersive-video-prompting | DSeaStar/awesome-kling | anupamme/awesome-minimax-h3-cases | bestimageai/awesome-minimax-h3-video-prompts | VoidLight00/video-generation-prompts | cclank/lanshu-awesome-ai-video-kit | cliprise/awesome-ai-product-video-prompts | cliprise/awesome-ai-real-estate-video-prompts | cliprise/awesome-ai-ugc-video-prompts | cliprise/awesome-ai-video-ads-prompts | ZeroLu/awesome-seedance | weshopai/awesome-Seedance-2.0-prompt | flaqai/awesome_seedance_2_5 | duyuanchao/awesome-sora-prompts | bestimageai/awesome_wan-3-0-prompts | imagineVid/Awesome-wan-3-0-prompts-and-skills | photoshootapp/product-photoshoot-prompts | g0dam/Awesome-GPT-Image-2-Work-Prompts | ConnieDAYU/xiaohongshu-image-orchestrator | JeremyGDM/awesome-ai-product-photography-prompts | aithink001/ai-perfume-product-photography-prompts | felipealmeidasid/Pack-skills-for-archviz | thriv-es/prompt-builder | windcoldpeople/architecture-prompt-generator | xiaoqi419/awesome-ai-image-prompts | Reviral-ai/awesome-ai-ugc-ad-prompts | afirsin/video-prompt-engine | futuremotiondev/futuremotion-i2v-prompt-generator | laofa668/awesome-wan3-video-prompts | AndyLeAI/Ideogram_JSON_Prompter | rlemson7/ideogrammar | cajias/agentic-video-skills | YuuZhen/cinematic-storyboard-director | Saganaki22/ideogram4_prompter-ComfyUI | hoin523/ideogram-4-fp8-random-prompts | byliutao/1Prompt1Story | KohakuBlueleaf/KGen | NickPittas/DirectorsConsole | PUSHINGSQUARES/pushing-creation | ObiriecLabs/ltx-director-prompter | TemporalLabsLLC-SOL/TemporalPromptEngine
MIT,7,7,7,wuyoscar/GPT-Image2-Skill | jijiutong/ai-visual-director | ImgEdify/Awesome-GPT4o-Image-Prompts | fairy-root/Flux-Prompt-Generator | flaqai/awesome-qwen-image-3 | quanluo/ltx-video-prompts | OSideMedia/higgsfield-ai-prompt-skill
NOASSERTION,4,4,3,jamez-bondos/awesome-gpt4o-images | EvoLinkAI/awesome-ideogram-4.0-prompts | Hunyuan-PromptEnhancer/PromptEnhancer | shauray8/awesome-qwen-image-2512
BSD-3-Clause,1,1,1,galeep/ideogram-typography-prompts
